Modality,Source,Beam Size,Revision_Rounds,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRExp_1000_10_5_rmse_631,10,1,0.647,0.773,0.796,0.819,0.888,0.9092,0.9165,0.924
C&H,evaluation_NMRExp_1000_10_5_rmse_631,10,2,0.646,0.776,0.796,0.824,0.8879,0.9098,0.9164,0.9234
C&H,evaluation_NMRExp_1000_10_5_rmse_631,10,3,0.646,0.776,0.796,0.826,0.8877,0.9096,0.9156,0.9234
C&H,evaluation_NMRExp_1000_10_5_rmse_631,10,4,0.646,0.774,0.795,0.825,0.8873,0.9091,0.9155,0.9229
C&H,evaluation_NMRExp_1000_10_5_rmse_631,10,5,0.646,0.774,0.794,0.825,0.8873,0.9091,0.9151,0.9229
C&H,nmr2mol,10,-,0.515,0.678,0.723,0.752,0.8018,0.8613,0.8798,0.8955
C&H,evaluation_NMRExp_1000_15_5_rmse_631,15,1,0.653,0.776,0.804,0.828,0.8943,0.9144,0.9209,0.929
C&H,evaluation_NMRExp_1000_15_5_rmse_631,15,2,0.65,0.776,0.8,0.826,0.8943,0.9171,0.9211,0.9303
C&H,evaluation_NMRExp_1000_15_5_rmse_631,15,3,0.651,0.777,0.802,0.829,0.8943,0.9165,0.9211,0.9304
C&H,evaluation_NMRExp_1000_15_5_rmse_631,15,4,0.651,0.777,0.802,0.828,0.8944,0.9163,0.9209,0.9304
C&H,evaluation_NMRExp_1000_15_5_rmse_631,15,5,0.651,0.777,0.802,0.827,0.8944,0.9162,0.9209,0.9301
C&H,nmr2mol,15,-,0.515,0.677,0.723,0.751,0.803,0.8621,0.881,0.8977
C&H,evaluation_NMRExp_1000_20_5_rmse_631,20,1,0.658,0.78,0.811,0.835,0.8995,0.921,0.9268,0.9352
C&H,evaluation_NMRExp_1000_20_5_rmse_631,20,2,0.654,0.777,0.811,0.835,0.898,0.9208,0.9282,0.9359
C&H,evaluation_NMRExp_1000_20_5_rmse_631,20,3,0.656,0.781,0.815,0.839,0.8985,0.9208,0.9281,0.9357
C&H,evaluation_NMRExp_1000_20_5_rmse_631,20,4,0.655,0.781,0.815,0.838,0.8976,0.9197,0.9278,0.9352
C&H,evaluation_NMRExp_1000_20_5_rmse_631,20,5,0.655,0.781,0.815,0.838,0.8974,0.9197,0.9275,0.9351
C&H,nmr2mol,20,-,0.515,0.677,0.723,0.751,0.8044,0.8637,0.8826,0.8991
C,evaluation_NMRExp_1000_10_5_rmse_82,10,1,0.559,0.659,0.686,0.704,0.7974,0.8242,0.8377,0.8486
C,evaluation_NMRExp_1000_10_5_rmse_82,10,2,0.564,0.665,0.693,0.708,0.8014,0.8253,0.8366,0.8497
C,evaluation_NMRExp_1000_10_5_rmse_82,10,3,0.562,0.666,0.692,0.707,0.8007,0.8248,0.8361,0.8481
C,evaluation_NMRExp_1000_10_5_rmse_82,10,4,0.562,0.666,0.693,0.707,0.8009,0.8248,0.8365,0.8482
C,evaluation_NMRExp_1000_10_5_rmse_82,10,5,0.562,0.667,0.694,0.708,0.8008,0.8248,0.8356,0.8479
C,nmr2mol,10,-,0.368,0.529,0.572,0.628,0.6716,0.7605,0.7834,0.8158
C,evaluation_NMRExp_1000_15_5_rmse_82,15,1,0.572,0.676,0.701,0.722,0.8139,0.8398,0.8493,0.863
C,evaluation_NMRExp_1000_15_5_rmse_82,15,2,0.576,0.682,0.709,0.731,0.8147,0.8393,0.8502,0.8619
C,evaluation_NMRExp_1000_15_5_rmse_82,15,3,0.574,0.681,0.709,0.731,0.8155,0.8374,0.8481,0.8617
C,evaluation_NMRExp_1000_15_5_rmse_82,15,4,0.573,0.682,0.708,0.73,0.815,0.8374,0.8477,0.8609
C,evaluation_NMRExp_1000_15_5_rmse_82,15,5,0.573,0.682,0.708,0.729,0.8148,0.8375,0.8479,0.8607
C,nmr2mol,15,-,0.368,0.528,0.572,0.624,0.6759,0.7645,0.7884,0.8217
C,evaluation_NMRExp_1000_20_5_rmse_82,20,1,0.577,0.678,0.708,0.734,0.819,0.8449,0.8577,0.8684
C,evaluation_NMRExp_1000_20_5_rmse_82,20,2,0.579,0.688,0.713,0.74,0.8212,0.8456,0.8564,0.8702
C,evaluation_NMRExp_1000_20_5_rmse_82,20,3,0.579,0.69,0.714,0.743,0.8232,0.8469,0.8586,0.8723
C,evaluation_NMRExp_1000_20_5_rmse_82,20,4,0.58,0.692,0.717,0.743,0.8235,0.8469,0.8589,0.8721
C,evaluation_NMRExp_1000_20_5_rmse_82,20,5,0.58,0.692,0.716,0.742,0.8227,0.8462,0.8577,0.8709
C,nmr2mol,20,-,0.368,0.528,0.572,0.624,0.6763,0.7648,0.7888,0.8223
H,evaluation_NMRExp_1000_10_5_rmse_64,10,1,0.488,0.623,0.669,0.703,0.7714,0.8242,0.8428,0.8549
H,evaluation_NMRExp_1000_10_5_rmse_64,10,2,0.489,0.623,0.672,0.706,0.7726,0.8273,0.8464,0.8599
H,evaluation_NMRExp_1000_10_5_rmse_64,10,3,0.489,0.624,0.674,0.71,0.7711,0.8263,0.8458,0.8599
H,evaluation_NMRExp_1000_10_5_rmse_64,10,4,0.487,0.623,0.673,0.711,0.7705,0.8257,0.845,0.8591
H,evaluation_NMRExp_1000_10_5_rmse_64,10,5,0.487,0.623,0.673,0.71,0.7705,0.8249,0.8448,0.8593
H,nmr2mol,10,-,0.34,0.487,0.528,0.59,0.6547,0.7429,0.7694,0.8016
H,evaluation_NMRExp_1000_15_5_rmse_64,15,1,0.486,0.625,0.673,0.722,0.7726,0.8315,0.8517,0.8693
H,evaluation_NMRExp_1000_15_5_rmse_64,15,2,0.484,0.625,0.676,0.72,0.7683,0.8327,0.8557,0.8699
H,evaluation_NMRExp_1000_15_5_rmse_64,15,3,0.483,0.626,0.673,0.72,0.7649,0.8325,0.8525,0.8684
H,evaluation_NMRExp_1000_15_5_rmse_64,15,4,0.483,0.627,0.674,0.721,0.7648,0.831,0.8517,0.8678
H,evaluation_NMRExp_1000_15_5_rmse_64,15,5,0.484,0.628,0.673,0.722,0.7655,0.8311,0.8504,0.8684
H,nmr2mol,15,-,0.34,0.487,0.528,0.591,0.6553,0.744,0.7706,0.8054
H,evaluation_NMRExp_1000_20_5_rmse_64,20,1,0.485,0.623,0.673,0.718,0.7709,0.8359,0.8576,0.8747
H,evaluation_NMRExp_1000_20_5_rmse_64,20,2,0.484,0.619,0.669,0.716,0.7665,0.8323,0.8601,0.876
H,evaluation_NMRExp_1000_20_5_rmse_64,20,3,0.483,0.621,0.669,0.715,0.7634,0.8337,0.857,0.8741
H,evaluation_NMRExp_1000_20_5_rmse_64,20,4,0.482,0.619,0.667,0.715,0.7624,0.8317,0.8538,0.8741
H,evaluation_NMRExp_1000_20_5_rmse_64,20,5,0.482,0.618,0.666,0.714,0.7619,0.8308,0.8527,0.8724
H,nmr2mol,20,-,0.34,0.487,0.528,0.59,0.6572,0.7461,0.7729,0.8074